Date,Starnuto
2016-06-19,103
2016-06-20,99
2016-06-21,94
2016-06-22,74
2016-06-23,76
2016-06-24,109
2016-06-25,77
2016-06-26,69
2016-06-27,68
2016-06-28,74
2016-06-29,77
2016-06-30,82
2016-07-01,90
2016-07-02,83
2016-07-03,61
2016-07-04,68
2016-07-05,70
2016-07-06,66
2016-07-07,78
2016-07-08,87
2016-07-09,62
2016-07-10,78
2016-07-11,58
2016-07-12,66
2016-07-13,71
2016-07-14,65
2016-07-15,72
2016-07-16,61
2016-07-17,76
2016-07-18,70
2016-07-19,93
2016-07-20,84
2016-07-21,74
2016-07-22,74
2016-07-23,86
2016-07-24,97
2016-07-25,78
2016-07-26,62
2016-07-27,55
2016-07-28,64
2016-07-29,74
2016-07-30,61
2016-07-31,88
2016-08-01,79
2016-08-02,70
2016-08-03,88
2016-08-04,98
2016-08-05,72
2016-08-06,76
2016-08-07,92
2016-08-08,64
2016-08-09,77
2016-08-10,104
2016-08-11,83
2016-08-12,86
2016-08-13,67
2016-08-14,96
2016-08-15,71
2016-08-16,71
2016-08-17,79
2016-08-18,80
2016-08-19,91
2016-08-20,101
2016-08-21,107
2016-08-22,115
2016-08-23,110
2016-08-24,66
2016-08-25,102
2016-08-26,92
2016-08-27,92
2016-08-28,111
2016-08-29,81
2016-08-30,87
2016-08-31,96
2016-09-01,99
2016-09-02,110
2016-09-03,93
2016-09-04,86
2016-09-05,95
2016-09-06,82
2016-09-07,90
2016-09-08,97
2016-09-09,91
2016-09-10,112
2016-09-11,88
2016-09-12,103
2016-09-13,91
2016-09-14,97
2016-09-15,98
2016-09-16,88
2016-09-17,204
2016-09-18,127
2016-09-19,97
2016-09-20,109
2016-09-21,105
2016-09-22,109
2016-09-23,108
2016-09-24,103
2016-09-25,112
2016-09-26,128
2016-09-27,128
2016-09-28,141
2016-09-29,133
2016-09-30,142
2016-10-01,129
2016-10-02,134
2016-10-03,162
2016-10-04,128
2016-10-05,126
2016-10-06,106
2016-10-07,113
2016-10-08,113
2016-10-09,119
2016-10-10,113
2016-10-11,102
2016-10-12,97
2016-10-13,87
2016-10-14,90
2016-10-15,90
2016-10-16,125
2016-10-17,103
2016-10-18,89
2016-10-19,102
2016-10-20,107
2016-10-21,85
2016-10-22,91
2016-10-23,91
2016-10-24,99
2016-10-25,75
2016-10-26,89
2016-10-27,89
2016-10-28,97
2016-10-29,78
2016-10-30,89
2016-10-31,83
2016-11-01,91
2016-11-02,84
2016-11-03,80
2016-11-04,82
2016-11-05,91
2016-11-06,94
2016-11-07,75
2016-11-08,78
2016-11-09,91
2016-11-10,79
2016-11-11,86
2016-11-12,94
2016-11-13,82
2016-11-14,89
2016-11-15,80
2016-11-16,94
2016-11-17,107
2016-11-18,120
2016-11-19,104
2016-11-20,91
2016-11-21,101
2016-11-22,102
2016-11-23,104
2016-11-24,98
2016-11-25,75
2016-11-26,92
2016-11-27,97
2016-11-28,125
2016-11-29,85
2016-11-30,80
2016-12-01,98
2016-12-02,90
2016-12-03,103
2016-12-04,93
2016-12-05,79
2016-12-06,126
2016-12-07,85
2016-12-08,115
2016-12-09,75
2016-12-10,99
2016-12-11,87
2016-12-12,108
2016-12-13,89
2016-12-14,94
2016-12-15,103
2016-12-16,92
2016-12-17,115
2016-12-18,118
2016-12-19,89
2016-12-20,94
2016-12-21,111
2016-12-22,108
2016-12-23,80
2016-12-24,90
2016-12-25,126
2016-12-26,144
2016-12-27,139
2016-12-28,202
2016-12-29,141
2016-12-30,146
2016-12-31,97
2017-01-01,138
2017-01-02,160
2017-01-03,157
2017-01-04,175
2017-01-05,156
2017-01-06,156
2017-01-07,139
2017-01-08,157
2017-01-09,110
2017-01-10,121
2017-01-11,95
2017-01-12,140
2017-01-13,127
2017-01-14,120
2017-01-15,132
2017-01-16,116
2017-01-17,111
2017-01-18,123
2017-01-19,135
2017-01-20,112
2017-01-21,132
2017-01-22,133
2017-01-23,126
2017-01-24,110
2017-01-25,111
2017-01-26,101
2017-01-27,109
2017-01-28,106
2017-01-29,121
2017-01-30,105
2017-01-31,126
2017-02-01,123
2017-02-02,121
2017-02-03,111
2017-02-04,98
2017-02-05,127
2017-02-06,102
2017-02-07,89
2017-02-08,102
2017-02-09,105
2017-02-10,102
2017-02-11,95
2017-02-12,120
2017-02-13,125
2017-02-14,109
2017-02-15,99
2017-02-16,111
2017-02-17,118
2017-02-18,112
2017-02-19,117
2017-02-20,127
2017-02-21,90
2017-02-22,100
2017-02-23,112
2017-02-24,92
2017-02-25,116
2017-02-26,93
2017-02-27,102
2017-02-28,102
2017-03-01,106
2017-03-02,114
2017-03-03,102
2017-03-04,100
2017-03-05,117
2017-03-06,106
2017-03-07,88
2017-03-08,86
2017-03-09,107
2017-03-10,113
2017-03-11,88
2017-03-12,113
2017-03-13,109
2017-03-14,92
2017-03-15,93
2017-03-16,90
2017-03-17,76
2017-03-18,78
2017-03-19,99
2017-03-20,71
2017-03-21,101
2017-03-22,106
2017-03-23,97
2017-03-24,62
2017-03-25,83
2017-03-26,94
2017-03-27,95
2017-03-28,78
2017-03-29,92
2017-03-30,72
2017-03-31,106
2017-04-01,93
2017-04-02,122
2017-04-03,105
2017-04-04,93
2017-04-05,92
2017-04-06,93
2017-04-07,102
2017-04-08,75
2017-04-09,97
2017-04-10,96
2017-04-11,87
2017-04-12,80
2017-04-13,103
2017-04-14,75
2017-04-15,64
2017-04-16,87
2017-04-17,89
2017-04-18,99
2017-04-19,72
2017-04-20,95
2017-04-21,71
2017-04-22,95
2017-04-23,116
2017-04-24,91
2017-04-25,89
2017-04-26,73
2017-04-27,89
2017-04-28,73
2017-04-29,82
2017-04-30,101
2017-05-01,96
2017-05-02,78
2017-05-03,82
2017-05-04,74
2017-05-05,81
2017-05-06,75
2017-05-07,74
2017-05-08,109
2017-05-09,63
2017-05-10,135
2017-05-11,122
2017-05-12,75
2017-05-13,61
2017-05-14,83
2017-05-15,72
2017-05-16,85
2017-05-17,140
2017-05-18,96
2017-05-19,105
2017-05-20,106
2017-05-21,96
2017-05-22,83
2017-05-23,82
2017-05-24,84
2017-05-25,89
2017-05-26,83
2017-05-27,69
2017-05-28,97
2017-05-29,85
2017-05-30,104
2017-05-31,86
2017-06-01,111
2017-06-02,118
2017-06-03,61
2017-06-04,74
2017-06-05,73
2017-06-06,64
2017-06-07,60
2017-06-08,64
2017-06-09,77
2017-06-10,59
2017-06-11,73
2017-06-12,72
2017-06-13,76
2017-06-14,53
2017-06-15,60
2017-06-16,54
2017-06-17,52
2017-06-18,77
2017-06-19,79
2017-06-20,67
2017-06-21,54
2017-06-22,51
2017-06-23,51
2017-06-24,56
2017-06-25,48
2017-06-26,43
2017-06-27,63
2017-06-28,56
2017-06-29,64
2017-06-30,55
2017-07-01,51
2017-07-02,67
2017-07-03,67
2017-07-04,55
2017-07-05,60
2017-07-06,51
2017-07-07,53
2017-07-08,58
2017-07-09,68
2017-07-10,66
2017-07-11,55
2017-07-12,52
2017-07-13,58
2017-07-14,45
2017-07-15,42
2017-07-16,66
2017-07-17,74
2017-07-18,82
2017-07-19,56
2017-07-20,64
2017-07-21,55
2017-07-22,42
2017-07-23,74
2017-07-24,45
2017-07-25,61
2017-07-26,42
2017-07-27,36
2017-07-28,45
2017-07-29,43
2017-07-30,54
2017-07-31,53
2017-08-01,55
2017-08-02,46
2017-08-03,50
2017-08-04,48
2017-08-05,40
2017-08-06,46
2017-08-07,50
2017-08-08,65
2017-08-09,58
2017-08-10,60
2017-08-11,52
2017-08-12,71
2017-08-13,55
2017-08-14,79
2017-08-15,59
2017-08-16,69
2017-08-17,61
2017-08-18,81
2017-08-19,58
2017-08-20,65
2017-08-21,73
2017-08-22,73
2017-08-23,66
2017-08-24,59
2017-08-25,104
2017-08-26,72
2017-08-27,57
2017-08-28,82
2017-08-29,88
2017-08-30,68
