Date,""Tosse"""
2016-06-19,81
2016-06-20,92
2016-06-21,90
2016-06-22,83
2016-06-23,89
2016-06-24,76
2016-06-25,77
2016-06-26,83
2016-06-27,83
2016-06-28,74
2016-06-29,65
2016-06-30,70
2016-07-01,64
2016-07-02,74
2016-07-03,71
2016-07-04,95
2016-07-05,72
2016-07-06,84
2016-07-07,64
2016-07-08,73
2016-07-09,62
2016-07-10,60
2016-07-11,66
2016-07-12,79
2016-07-13,73
2016-07-14,53
2016-07-15,88
2016-07-16,69
2016-07-17,57
2016-07-18,71
2016-07-19,69
2016-07-20,66
2016-07-21,52
2016-07-22,60
2016-07-23,44
2016-07-24,59
2016-07-25,90
2016-07-26,84
2016-07-27,61
2016-07-28,61
2016-07-29,44
2016-07-30,53
2016-07-31,63
2016-08-01,69
2016-08-02,59
2016-08-03,73
2016-08-04,60
2016-08-05,47
2016-08-06,47
2016-08-07,42
2016-08-08,43
2016-08-09,59
2016-08-10,76
2016-08-11,45
2016-08-12,57
2016-08-13,57
2016-08-14,49
2016-08-15,54
2016-08-16,70
2016-08-17,71
2016-08-18,71
2016-08-19,86
2016-08-20,72
2016-08-21,69
2016-08-22,79
2016-08-23,77
2016-08-24,68
2016-08-25,67
2016-08-26,75
2016-08-27,76
2016-08-28,90
2016-08-29,70
2016-08-30,72
2016-08-31,95
2016-09-01,71
2016-09-02,66
2016-09-03,77
2016-09-04,66
2016-09-05,93
2016-09-06,100
2016-09-07,86
2016-09-08,92
2016-09-09,73
2016-09-10,72
2016-09-11,88
2016-09-12,87
2016-09-13,91
2016-09-14,77
2016-09-15,75
2016-09-16,79
2016-09-17,101
2016-09-18,77
2016-09-19,108
2016-09-20,65
2016-09-21,80
2016-09-22,78
2016-09-23,90
2016-09-24,76
2016-09-25,74
2016-09-26,111
2016-09-27,93
2016-09-28,111
2016-09-29,107
2016-09-30,99
2016-10-01,96
2016-10-02,108
2016-10-03,136
2016-10-04,129
2016-10-05,106
2016-10-06,115
2016-10-07,139
2016-10-08,112
2016-10-09,134
2016-10-10,152
2016-10-11,137
2016-10-12,148
2016-10-13,106
2016-10-14,118
2016-10-15,120
2016-10-16,125
2016-10-17,154
2016-10-18,117
2016-10-19,102
2016-10-20,122
2016-10-21,121
2016-10-22,86
2016-10-23,116
2016-10-24,147
2016-10-25,119
2016-10-26,135
2016-10-27,119
2016-10-28,102
2016-10-29,119
2016-10-30,95
2016-10-31,102
2016-11-01,123
2016-11-02,137
2016-11-03,102
2016-11-04,110
2016-11-05,118
2016-11-06,131
2016-11-07,117
2016-11-08,135
2016-11-09,99
2016-11-10,102
2016-11-11,103
2016-11-12,114
2016-11-13,142
2016-11-14,141
2016-11-15,132
2016-11-16,103
2016-11-17,131
2016-11-18,110
2016-11-19,110
2016-11-20,139
2016-11-21,141
2016-11-22,141
2016-11-23,121
2016-11-24,81
2016-11-25,135
2016-11-26,132
2016-11-27,92
2016-11-28,130
2016-11-29,110
2016-11-30,115
2016-12-01,133
2016-12-02,87
2016-12-03,127
2016-12-04,118
2016-12-05,133
2016-12-06,149
2016-12-07,118
2016-12-08,110
2016-12-09,142
2016-12-10,146
2016-12-11,183
2016-12-12,165
2016-12-13,185
2016-12-14,151
2016-12-15,149
2016-12-16,171
2016-12-17,135
2016-12-18,157
2016-12-19,179
2016-12-20,199
2016-12-21,190
2016-12-22,181
2016-12-23,181
2016-12-24,190
2016-12-25,174
2016-12-26,199
2016-12-27,237
2016-12-28,253
2016-12-29,251
2016-12-30,201
2016-12-31,147
2017-01-01,172
2017-01-02,230
2017-01-03,229
2017-01-04,253
2017-01-05,224
2017-01-06,170
2017-01-07,193
2017-01-08,251
2017-01-09,240
2017-01-10,171
2017-01-11,215
2017-01-12,183
2017-01-13,175
2017-01-14,183
2017-01-15,202
2017-01-16,197
2017-01-17,161
2017-01-18,166
2017-01-19,188
2017-01-20,173
