Date,Raffreddore
2016-06-19,5
2016-06-20,12
2016-06-21,8
2016-06-22,3
2016-06-23,5
2016-06-24,4
2016-06-25,2
2016-06-26,3
2016-06-27,3
2016-06-28,4
2016-06-29,1
2016-06-30,1
2016-07-01,7
2016-07-02,3
2016-07-03,3
2016-07-04,2
2016-07-05,6
2016-07-06,9
2016-07-07,3
2016-07-08,4
2016-07-09,1
2016-07-10,6
2016-07-11,8
2016-07-12,0
2016-07-13,4
2016-07-14,6
2016-07-15,2
2016-07-16,8
2016-07-17,5
2016-07-18,1
2016-07-19,3
2016-07-20,5
2016-07-21,6
2016-07-22,4
2016-07-23,6
2016-07-24,5
2016-07-25,4
2016-07-26,5
2016-07-27,8
2016-07-28,5
2016-07-29,2
2016-07-30,6
2016-07-31,4
2016-08-01,9
2016-08-02,5
2016-08-03,4
2016-08-04,3
2016-08-05,3
2016-08-06,5
2016-08-07,4
2016-08-08,4
2016-08-09,3
2016-08-10,7
2016-08-11,16
2016-08-12,4
2016-08-13,2
2016-08-14,5
2016-08-15,4
2016-08-16,1
2016-08-17,5
2016-08-18,9
2016-08-19,5
2016-08-20,3
2016-08-21,3
2016-08-22,4
2016-08-23,1
2016-08-24,8
2016-08-25,8
2016-08-26,9
2016-08-27,5
2016-08-28,4
2016-08-29,6
2016-08-30,6
2016-08-31,7
2016-09-01,2
2016-09-02,5
2016-09-03,4
2016-09-04,9
2016-09-05,6
2016-09-06,9
2016-09-07,13
2016-09-08,3
2016-09-09,11
2016-09-10,10
2016-09-11,14
2016-09-12,7
2016-09-13,15
2016-09-14,11
2016-09-15,9
2016-09-16,8
2016-09-17,8
2016-09-18,21
2016-09-19,11
2016-09-20,11
2016-09-21,6
2016-09-22,8
2016-09-23,19
2016-09-24,11
2016-09-25,12
2016-09-26,19
2016-09-27,32
2016-09-28,25
2016-09-29,29
2016-09-30,19
2016-10-01,33
2016-10-02,21
2016-10-03,24
2016-10-04,15
2016-10-05,18
2016-10-06,24
2016-10-07,15
2016-10-08,19
2016-10-09,17
2016-10-10,22
2016-10-11,15
2016-10-12,22
2016-10-13,19
2016-10-14,14
2016-10-15,29
2016-10-16,13
2016-10-17,21
2016-10-18,12
2016-10-19,20
2016-10-20,21
2016-10-21,22
2016-10-22,14
2016-10-23,13
2016-10-24,19
2016-10-25,28
2016-10-26,14
2016-10-27,18
2016-10-28,20
2016-10-29,17
2016-10-30,12
2016-10-31,15
2016-11-01,16
2016-11-02,26
2016-11-03,22
2016-11-04,15
2016-11-05,21
2016-11-06,14
2016-11-07,18
2016-11-08,16
2016-11-09,12
2016-11-10,14
2016-11-11,22
2016-11-12,22
2016-11-13,32
2016-11-14,7
2016-11-15,9
2016-11-16,14
2016-11-17,10
2016-11-18,11
2016-11-19,27
2016-11-20,9
2016-11-21,19
2016-11-22,12
2016-11-23,21
2016-11-24,15
2016-11-25,9
2016-11-26,9
2016-11-27,19
2016-11-28,14
2016-11-29,15
2016-11-30,18
2016-12-01,20
2016-12-02,23
2016-12-03,10
2016-12-04,14
2016-12-05,13
2016-12-06,12
2016-12-07,19
2016-12-08,17
2016-12-09,9
2016-12-10,22
2016-12-11,19
