Date,"Tachipirina"
2016-06-19,6
2016-06-20,5
2016-06-21,3
2016-06-22,1
2016-06-23,2
2016-06-24,4
2016-06-25,6
2016-06-26,5
2016-06-27,1
2016-06-28,1
2016-06-29,2
2016-06-30,6
2016-07-01,1
2016-07-02,6
2016-07-03,4
2016-07-04,2
2016-07-05,2
2016-07-06,10
2016-07-07,8
2016-07-08,2
2016-07-09,5
2016-07-10,1
2016-07-11,4
2016-07-12,4
2016-07-13,2
2016-07-14,7
2016-07-15,3
2016-07-16,4
2016-07-17,3
2016-07-18,1
2016-07-19,5
2016-07-20,7
2016-07-21,2
2016-07-22,6
2016-07-23,2
2016-07-24,0
2016-07-25,10
2016-07-26,5
2016-07-27,2
2016-07-28,5
2016-07-29,3
2016-07-30,5
2016-07-31,6
2016-08-01,5
2016-08-02,2
2016-08-03,9
2016-08-04,5
2016-08-05,5
2016-08-06,3
2016-08-07,3
2016-08-08,4
2016-08-09,5
2016-08-10,4
2016-08-11,5
2016-08-12,6
2016-08-13,3
2016-08-14,2
2016-08-15,5
2016-08-16,4
2016-08-17,2
2016-08-18,3
2016-08-19,5
2016-08-20,6
2016-08-21,3
2016-08-22,3
2016-08-23,8
2016-08-24,5
2016-08-25,4
2016-08-26,3
2016-08-27,5
2016-08-28,5
2016-08-29,7
2016-08-30,3
2016-08-31,7
2016-09-01,3
2016-09-02,6
2016-09-03,8
2016-09-04,6
2016-09-05,8
2016-09-06,8
2016-09-07,5
2016-09-08,4
2016-09-09,3
2016-09-10,12
2016-09-11,5
2016-09-12,4
2016-09-13,3
2016-09-14,5
2016-09-15,1
2016-09-16,5
2016-09-17,1
2016-09-18,4
2016-09-19,7
2016-09-20,10
2016-09-21,5
2016-09-22,7
2016-09-23,7
2016-09-24,3
2016-09-25,3
2016-09-26,5
2016-09-27,4
2016-09-28,3
2016-09-29,8
2016-09-30,6
2016-10-01,3
2016-10-02,3
2016-10-03,7
2016-10-04,9
2016-10-05,11
2016-10-06,2
2016-10-07,7
2016-10-08,2
2016-10-09,9
2016-10-10,6
2016-10-11,8
2016-10-12,7
2016-10-13,6
2016-10-14,6
2016-10-15,7
2016-10-16,1
2016-10-17,0
2016-10-18,4
2016-10-19,5
2016-10-20,4
2016-10-21,5
2016-10-22,3
2016-10-23,3
2016-10-24,6
2016-10-25,5
2016-10-26,4
2016-10-27,3
2016-10-28,6
2016-10-29,2
2016-10-30,6
2016-10-31,2
2016-11-01,6
2016-11-02,12
2016-11-03,12
2016-11-04,4
2016-11-05,5
2016-11-06,4
2016-11-07,8
2016-11-08,3
2016-11-09,2
2016-11-10,4
2016-11-11,2
2016-11-12,6
2016-11-13,10
2016-11-14,6
2016-11-15,8
2016-11-16,8
2016-11-17,2
2016-11-18,6
2016-11-19,1
2016-11-20,3
2016-11-21,7
2016-11-22,12
2016-11-23,6
2016-11-24,4
2016-11-25,10
2016-11-26,1
2016-11-27,3
2016-11-28,6
2016-11-29,4
2016-11-30,5
2016-12-01,8
2016-12-02,5
2016-12-03,2
2016-12-04,6
2016-12-05,2
2016-12-06,11
2016-12-07,5
2016-12-08,5
2016-12-09,2
2016-12-10,4
2016-12-11,8
2016-12-12,12
2016-12-13,7
2016-12-14,4
2016-12-15,4
2016-12-16,2
2016-12-17,6
2016-12-18,8
2016-12-19,8
2016-12-20,4
2016-12-21,8
2016-12-22,3
2016-12-23,10
2016-12-24,4
2016-12-25,9
2016-12-26,6
2016-12-27,11
2016-12-28,13
2016-12-29,15
2016-12-30,5
2016-12-31,6
2017-01-01,9
2017-01-02,17
2017-01-03,8
2017-01-04,10
2017-01-05,15
2017-01-06,12
2017-01-07,11
2017-01-08,7
2017-01-09,5
2017-01-10,8
2017-01-11,10
2017-01-12,7
2017-01-13,10
2017-01-14,4
2017-01-15,6
2017-01-16,10
2017-01-17,3
2017-01-18,11
2017-01-19,1
2017-01-20,9
2017-01-21,2
2017-01-22,10
2017-01-23,3
2017-01-24,11
2017-01-25,2
2017-01-26,5
2017-01-27,5
2017-01-28,2
2017-01-29,8
2017-01-30,2
2017-01-31,6
2017-02-01,9
2017-02-02,12
2017-02-03,4
2017-02-04,5
2017-02-05,6
2017-02-06,9
2017-02-07,7
2017-02-08,12
2017-02-09,4
2017-02-10,6
2017-02-11,3
2017-02-12,4
2017-02-13,11
2017-02-14,10
2017-02-15,7
2017-02-16,6
2017-02-17,10
2017-02-18,8
2017-02-19,6
2017-02-20,8
2017-02-21,9
2017-02-22,6
2017-02-23,6
2017-02-24,3
2017-02-25,5
2017-02-26,5
2017-02-27,3
2017-02-28,3
2017-03-01,2
2017-03-02,0
2017-03-03,2
2017-03-04,0
2017-03-05,0
2017-03-06,4
2017-03-07,2
2017-03-08,3
2017-03-09,2
2017-03-10,3
2017-03-11,1
2017-03-12,3
2017-03-13,5
2017-03-14,6
2017-03-15,4
2017-03-16,3
2017-03-17,1
2017-03-18,3
2017-03-19,7
2017-03-20,6
2017-03-21,4
2017-03-22,3
2017-03-23,6
2017-03-24,2
2017-03-25,1
2017-03-26,2
2017-03-27,3
2017-03-28,2
2017-03-29,12
2017-03-30,4
2017-03-31,9
2017-04-01,5
2017-04-02,5
2017-04-03,3
2017-04-04,4
2017-04-05,2
2017-04-06,3
2017-04-07,5
2017-04-08,3
2017-04-09,4
2017-04-10,2
2017-04-11,2
2017-04-12,5
2017-04-13,5
2017-04-14,6
2017-04-15,4
2017-04-16,1
2017-04-17,1
2017-04-18,4
2017-04-19,9
2017-04-20,4
2017-04-21,5
2017-04-22,1
2017-04-23,2
2017-04-24,3
2017-04-25,5
2017-04-26,3
2017-04-27,6
2017-04-28,2
2017-04-29,2
2017-04-30,4
2017-05-01,5
2017-05-02,6
2017-05-03,4
2017-05-04,2
2017-05-05,1
2017-05-06,1
2017-05-07,7
2017-05-08,5
2017-05-09,2
2017-05-10,4
2017-05-11,4
2017-05-12,4
2017-05-13,2
2017-05-14,6
2017-05-15,5
2017-05-16,4
2017-05-17,3
2017-05-18,2
2017-05-19,4
2017-05-20,3
2017-05-21,2
2017-05-22,6
2017-05-23,5
2017-05-24,4
2017-05-25,4
2017-05-26,3
2017-05-27,1
2017-05-28,5
2017-05-29,8
2017-05-30,2
2017-05-31,1
2017-06-01,5
2017-06-02,4
2017-06-03,2
2017-06-04,3
2017-06-05,2
2017-06-06,5
2017-06-07,8
2017-06-08,0
2017-06-09,0
2017-06-10,3
2017-06-11,0
2017-06-12,3
2017-06-13,1
2017-06-14,5
2017-06-15,2
2017-06-16,1
2017-06-17,1
2017-06-18,0
2017-06-19,2
2017-06-20,0
2017-06-21,1
2017-06-22,1
2017-06-23,3
2017-06-24,6
2017-06-25,2
2017-06-26,0
2017-06-27,0
2017-06-28,4
2017-06-29,2
2017-06-30,2
2017-07-01,2
2017-07-02,1
2017-07-03,2
2017-07-04,2
2017-07-05,3
2017-07-06,2
2017-07-07,3
2017-07-08,3
2017-07-09,1
2017-07-10,2
2017-07-11,2
2017-07-12,6
2017-07-13,2
2017-07-14,4
2017-07-15,0
2017-07-16,1
2017-07-17,0
2017-07-18,2
2017-07-19,1
2017-07-20,5
2017-07-21,3
2017-07-22,2
2017-07-23,3
2017-07-24,4
2017-07-25,2
2017-07-26,0
2017-07-27,2
2017-07-28,2
2017-07-29,4
2017-07-30,2
2017-07-31,3
2017-08-01,4
2017-08-02,1
2017-08-03,7
2017-08-04,4
2017-08-05,2
2017-08-06,3
2017-08-07,3
2017-08-08,0
2017-08-09,4
2017-08-10,1
2017-08-11,1
2017-08-12,2
2017-08-13,1
2017-08-14,1
2017-08-15,1
2017-08-16,4
2017-08-17,1
2017-08-18,6
2017-08-19,1
2017-08-20,1
2017-08-21,5
2017-08-22,2
2017-08-23,1
2017-08-24,3
2017-08-25,4
2017-08-26,1
2017-08-27,2
2017-08-28,4
2017-08-29,7
2017-08-30,2
2017-08-31,2
2017-09-01,3
2017-09-02,2
2017-09-03,3
2017-09-04,3
2017-09-05,3
2017-09-06,3
2017-09-07,3
2017-09-08,3
2017-09-09,3
2017-09-10,3
2017-09-11,7
2017-09-12,4
2017-09-13,2
2017-09-14,5
2017-09-15,4
2017-09-16,3
2017-09-17,1
2017-09-18,2
2017-09-19,3
2017-09-20,3
2017-09-21,5
2017-09-22,2
2017-09-23,4
2017-09-24,4
2017-09-25,1
2017-09-26,4
2017-09-27,0
2017-09-28,3
2017-09-29,3
2017-09-30,7
2017-10-01,14
2017-10-02,8
2017-10-03,7
2017-10-04,1
2017-10-05,2
2017-10-06,6
2017-10-07,3
2017-10-08,1
2017-10-09,6
2017-10-10,5
2017-10-11,3
2017-10-12,1
2017-10-13,1
2017-10-14,7
2017-10-15,4
2017-10-16,6
2017-10-17,1
2017-10-18,2
2017-10-19,3
2017-10-20,5
2017-10-21,3
2017-10-22,3
2017-10-23,3
2017-10-24,5
2017-10-25,5
2017-10-26,3
2017-10-27,2
2017-10-28,5
2017-10-29,1
2017-10-30,2
2017-10-31,6
2017-11-01,2
2017-11-02,5
2017-11-03,2
2017-11-04,6
2017-11-05,2
2017-11-06,7
2017-11-07,4
2017-11-08,4
2017-11-09,3
2017-11-10,5
2017-11-11,4
2017-11-12,3
2017-11-13,4
2017-11-14,8
2017-11-15,5
2017-11-16,2
2017-11-17,4
2017-11-18,3
2017-11-19,1
2017-11-20,9
2017-11-21,3
2017-11-22,2
2017-11-23,1
2017-11-24,11
2017-11-25,7
2017-11-26,4
2017-11-27,9
2017-11-28,6
2017-11-29,8
2017-11-30,9
2017-12-01,2
2017-12-02,2
2017-12-03,4
2017-12-04,10
2017-12-05,8
2017-12-06,6
2017-12-07,3
2017-12-08,4
2017-12-09,3
2017-12-10,3
2017-12-11,8
2017-12-12,5
2017-12-13,1
2017-12-14,3
2017-12-15,7
2017-12-16,2
2017-12-17,4
2017-12-18,5
2017-12-19,6
2017-12-20,5
2017-12-21,4
2017-12-22,4
2017-12-23,14
2017-12-24,8
2017-12-25,6
2017-12-26,11
2017-12-27,13
2017-12-28,14
2017-12-29,10
2017-12-30,4
2017-12-31,12
2018-01-01,5
2018-01-02,9
2018-01-03,14
2018-01-04,15
2018-01-05,10
2018-01-06,10
2018-01-07,6
2018-01-08,11
2018-01-09,10
2018-01-10,12
2018-01-11,6
2018-01-12,8
2018-01-13,5
2018-01-14,10
2018-01-15,5
2018-01-16,14
2018-01-17,11
2018-01-18,14
2018-01-19,5
2018-01-20,12
2018-01-21,17
2018-01-22,11
2018-01-23,6
2018-01-24,9
2018-01-25,11
2018-01-26,13
2018-01-27,8
2018-01-28,8
2018-01-29,5
2018-01-30,9
2018-01-31,9
2018-02-01,6
2018-02-02,14
2018-02-03,9
2018-02-04,7
2018-02-05,5
2018-02-06,5
2018-02-07,9
2018-02-08,7
2018-02-09,3
2018-02-10,2
2018-02-11,5
2018-02-12,5
2018-02-13,8
2018-02-14,3
2018-02-15,3
2018-02-16,5
2018-02-17,3
2018-02-18,6
2018-02-19,7
2018-02-20,4
2018-02-21,10
2018-02-22,4
2018-02-23,3
2018-02-24,6
2018-02-25,10
2018-02-26,7
2018-02-27,7
2018-02-28,9
2018-03-01,9
2018-03-02,7
2018-03-03,4
2018-03-04,5
2018-03-05,3
2018-03-06,7
2018-03-07,5
2018-03-08,3
2018-03-09,5
2018-03-10,6
2018-03-11,4
2018-03-12,4
2018-03-13,10
2018-03-14,11
2018-03-15,3
2018-03-16,6
2018-03-17,3
2018-03-18,3
2018-03-19,6
2018-03-20,8
2018-03-21,6
2018-03-22,5
2018-03-23,9
2018-03-24,3
2018-03-25,5
2018-03-26,7
2018-03-27,7
2018-03-28,8
2018-03-29,6
2018-03-30,3
2018-03-31,3
2018-04-01,5
2018-04-02,6
2018-04-03,9
2018-04-04,7
2018-04-05,5
2018-04-06,3
2018-04-07,1
2018-04-08,4
2018-04-09,5
2018-04-10,10
2018-04-11,6
2018-04-12,4
2018-04-13,5
2018-04-14,4
2018-04-15,5
2018-04-16,5
2018-04-17,5
2018-04-18,5
2018-04-19,6
2018-04-20,4
2018-04-21,2
2018-04-22,2
2018-04-23,3
2018-04-24,3
2018-04-25,5
2018-04-26,4
2018-04-27,3
2018-04-28,4
2018-04-29,3
2018-04-30,3
2018-05-01,5
2018-05-02,5
2018-05-03,8
2018-05-04,5
2018-05-05,4
2018-05-06,9
2018-05-07,6
2018-05-08,3
2018-05-09,3
2018-05-10,7
2018-05-11,4
2018-05-12,1
2018-05-13,6
2018-05-14,5
2018-05-15,2
2018-05-16,8
2018-05-17,6
2018-05-18,12
2018-05-19,2
2018-05-20,2
2018-05-21,5
2018-05-22,3
2018-05-23,1
2018-05-24,8
2018-05-25,2
2018-05-26,3
2018-05-27,5
2018-05-28,6
2018-05-29,7
2018-05-30,6
2018-05-31,8
2018-06-01,3
2018-06-02,4
2018-06-03,4
2018-06-04,9
2018-06-05,2
2018-06-06,3
2018-06-07,4
2018-06-08,5
2018-06-09,2
2018-06-10,2
2018-06-11,5
2018-06-12,3
2018-06-13,7
2018-06-14,8
2018-06-15,5
2018-06-16,3
2018-06-17,6
2018-06-18,4
2018-06-19,7
2018-06-20,6
2018-06-21,37
2018-06-22,49
2018-06-23,15
2018-06-24,15
2018-06-25,18
2018-06-26,15
2018-06-27,18
2018-06-28,62
2018-06-29,19
2018-06-30,11
2018-07-01,16
2018-07-02,9
2018-07-03,2
2018-07-04,58
2018-07-05,59
2018-07-06,6
2018-07-07,2
